city_code,city_name,province,district,city_id
bj,北京,,华北	,11
sh,上海,,华东	,31
tj,天津,,华北	,12
cq,重庆,,西南,50
qd,青岛,山东,华东,3702
jn,济南,山东,华东,3701
yt,烟台,山东,华东,3706
wf,潍坊,山东,华东,3707
linyi,临沂,山东,华东,3713
zb,淄博,山东,华东,3703
jining,济宁,山东,华东,3708
ta,泰安,山东,华东,3709
lc,聊城,山东,华东,3715
weihai,威海,山东,华东,3710
zaozhuang,枣庄,山东,华东,3704
dz,德州,山东,华东,3714
rizhao,日照,山东,华东,3711
dy,东营,山东,华东,3705
heze,菏泽,山东,华东,3717
bz,滨州,山东,华东,3716
lw,莱芜,山东,华东,3712
zhangqiu,章丘,山东,华东,3701
kl,垦利,山东,华东,3705
zc,诸城,山东,华东,3707
shouguang,寿光,山东,华东,3707
su,苏州,江苏,华东,3205
nj,南京,江苏,华东,3201
wx,无锡,江苏,华东,3202
cz,常州,江苏,华东,3204
xz,徐州,江苏,华东,3203
nt,南通,江苏,华东,3206
yz,扬州,江苏,华东,3210
yancheng,盐城,江苏,华东,3209
ha,淮安,江苏,华东,3208
lyg,连云港,江苏,华东,3207
taizhou,泰州,江苏,华东,3212
suqian,宿迁,江苏,华东,3213
zj,镇江,江苏,华东,3211
shuyang,沭阳,江苏,华东,3213
dafeng,大丰,江苏,华东,3209
rugao,如皋,江苏,华东,3206
qidong,启东,江苏,华东,3206
liyang,溧阳,江苏,华东,3223
haimen,海门,江苏,华东,3206
donghai,东海,江苏,华东,3207
yangzhong,扬中,江苏,华东,3211
xinghuashi,兴化,江苏,华东,3212
xinyishi,新沂,江苏,华东,3203
taixing,泰兴,江苏,华东,3214
rudong,如东,江苏,华东,3206
pizhou,邳州,江苏,华东,3203
xzpeixian,沛县,江苏,华东,3203
jingjiang,靖江,江苏,华东,3216
jianhu,建湖,江苏,华东,3209
haian,海安,江苏,华东,3206
dongtai,东台,江苏,华东,3209
danyang,丹阳,江苏,华东,3221
hz,杭州,浙江,华东,3301
nb,宁波,浙江,华东,3302
wz,温州,浙江,华东,3303
jh,金华,浙江,华东,3307
jx,嘉兴,浙江,华东,3304
tz,台州,浙江,华东,3310
sx,绍兴,浙江,华东,3306
huzhou,湖州,浙江,华东,3305
lishui,丽水,浙江,华东,3311
quzhou,衢州,浙江,华东,3308
zhoushan,舟山,浙江,华东,3309
yueqingcity,乐清,浙江,华东,3303
ruiancity,瑞安,浙江,华东,3303
yiwu,义乌,浙江,华东,3313
yuyao,余姚,浙江,华东,3302
zhuji,诸暨,浙江,华东,3306
xiangshanxian,象山,浙江,华东,3302
wenling,温岭,浙江,华东,3310
tongxiang,桐乡,浙江,华东,3304
cixi,慈溪,浙江,华东,3302
changxing,长兴,浙江,华东,3305
jiashanx,嘉善,浙江,华东,3304
haining,海宁,浙江,华东,3312
deqing,德清,浙江,华东,3305
hf,合肥,安徽,华东,3401
wuhu,芜湖,安徽,华东,3402
bengbu,蚌埠,安徽,华东,3403
fy,阜阳,安徽,华东,3412
hn,淮南,安徽,华东,3404
anqing,安庆,安徽,华东,3408
suzhou,宿州,安徽,华东,3413
la,六安,安徽,华东,3415
huaibei,淮北,安徽,华东,3406
chuzhou,滁州,安徽,华东,3411
mas,马鞍山,安徽,华东,3405
tongling,铜陵,安徽,华东,3407
xuancheng,宣城,安徽,华东,3418
bozhou,亳州,安徽,华东,3416
huangshan,黄山,安徽,华东,3410
chizhou,池州,安徽,华东,3417
ch,巢湖,安徽,华东,3414
hexian,和县,安徽,华东,3405
hq,霍邱,安徽,华东,3415
tongcheng,桐城,安徽,华东,3408
ningguo,宁国,安徽,华东,3418
tianchang,天长,安徽,华东,3411
sz,深圳,广东,华南,4403
gz,广州,广东,华南,4401
dg,东莞,广东,华南,4419
fs,佛山,广东,华南,4406
zs,中山,广东,华南,4420
zh,珠海,广东,华南,4404
huizhou,惠州,广东,华南,4413
jm,江门,广东,华南,4407
st,汕头,广东,华南,4405
zhanjiang,湛江,广东,华南,4408
zq,肇庆,广东,华南,4412
mm,茂名,广东,华南,4409
jy,揭阳,广东,华南,4452
mz,梅州,广东,华南,4414
qingyuan,清远,广东,华南,4418
yj,阳江,广东,华南,4417
sg,韶关,广东,华南,4402
heyuan,河源,广东,华南,4416
yf,云浮,广东,华南,4453
sw,汕尾,广东,华南,4415
chaozhou,潮州,广东,华南,4451
taishan,台山,广东,华南,4407
yangchun,阳春,广东,华南,4417
sd,顺德,广东,华南,4422
huidong,惠东,广东,华南,4413
boluo,博罗,广东,华南,4413
fz,福州,福建,华南,3501
xm,厦门,福建,华南,3502
qz,泉州,福建,华南,3505
pt,莆田,福建,华南,3503
zhangzhou,漳州,福建,华南,3506
nd,宁德,福建,华南,3509
sm,三明,福建,华南,3504
np,南平,福建,华南,3507
ly,龙岩,福建,华南,3508
wuyishan,武夷山,福建,华南,3507
shishi,石狮,福建,华南,3505
jinjiangshi,晋江,福建,华南,3505
nananshi,南安,福建,华南,3505
nn,南宁,广西,华南,4501
liuzhou,柳州,广西,华南,4502
gl,桂林,广西,华南,4503
yulin,玉林,广西,华南,4509
wuzhou,梧州,广西,华南,4504
bh,北海,广西,华南,4505
gg,贵港,广西,华南,4508
qinzhou,钦州,广西,华南,4507
baise,百色,广西,华南,4510
hc,河池,广西,华南,4512
lb,来宾,广西,华南,4513
hezhou,贺州,广西,华南,4511
fcg,防城港,广西,华南,4506
chongzuo,崇左,广西,华南,4514
haikou,海口,海南,中南,4601
sanya,三亚,海南,中南,4602
wzs,五指山,海南,中南,4603
sansha,三沙,海南,中南,3509
qh,琼海,海南,中南,4604
wenchang,文昌,海南,中南,4606
wanning,万宁,海南,中南,4607
df,东方,海南,中南,4608
baish,白沙,海南,中南,5307
danzhou,儋州,海南,中南,4605
zz,郑州,河南,中南,4101
luoyang,洛阳,河南,中南,4103
xx,新乡,河南,中南,4107
ny,南阳,河南,中南,4113
xc,许昌,河南,中南,4110
pds,平顶山,河南,中南,4104
ay,安阳,河南,中南,4105
jiaozuo,焦作,河南,中南,4108
sq,商丘,河南,中南,4114
kaifeng,开封,河南,中南,4102
puyang,濮阳,河南,中南,4109
zk,周口,河南,中南,4116
xy,信阳,河南,中南,4115
zmd,驻马店,河南,中南,4117
luohe,漯河,河南,中南,4111
smx,三门峡,河南,中南,4112
hb,鹤壁,河南,中南,4106
jiyuan,济源,河南,中南,4118
mg,明港,河南,中南,4115
yanling,鄢陵,河南,中南,4110
yuzhou,禹州,河南,中南,4110
changge,长葛,河南,中南,4110
wh,武汉,湖北,中南,4201
yc,宜昌,湖北,中南,4205
xf,襄阳,湖北,中南,4204
jingzhou,荆州,湖北,中南,4210
shiyan,十堰,湖北,中南,4203
hshi,黄石,湖北,中南,4202
xiaogan,孝感,湖北,中南,4209
hg,黄冈,湖北,中南,4211
es,恩施,湖北,中南,4228
jingmen,荆门,湖北,中南,4208
xianning,咸宁,湖北,中南,4212
ez,鄂州,湖北,中南,4207
suizhou,随州,湖北,中南,4213
qianjiang,潜江,湖北,中南,4230
tm,天门,湖北,中南,4231
xiantao,仙桃,湖北,中南,4229
snj,神农架,湖北,中南,4232
yidou,宜都,湖北,中南,4205
cs,长沙,湖南,中南,4301
zhuzhou,株洲,湖南,中南,4302
yiyang,益阳,湖南,中南,4309
changde,常德,湖南,中南,4307
hy,衡阳,湖南,中南,4304
xiangtan,湘潭,湖南,中南,4303
yy,岳阳,湖南,中南,4306
chenzhou,郴州,湖南,中南,4310
shaoyang,邵阳,湖南,中南,4305
hh,怀化,湖南,中南,4312
yongzhou,永州,湖南,中南,4311
ld,娄底,湖南,中南,4313
xiangxi,湘西,湖南,中南,4331
zjj,张家界,湖南,中南,4308
nc,南昌,江西,中南,3601
ganzhou,赣州,江西,中南,3607
jj,九江,江西,中南,3604
yichun,宜春,江西,中南,3609
ja,吉安,江西,中南,3608
sr,上饶,江西,中南,3611
px,萍乡,江西,中南,3603
fuzhou,抚州,江西,中南,3610
jdz,景德镇,江西,中南,3602
xinyu,新余,江西,中南,3605
yingtan,鹰潭,江西,中南,3606
yxx,永新,江西,中南,3608
sy,沈阳,辽宁,东北,2101
dl,大连,辽宁,东北,2102
as,鞍山,辽宁,东北,2103
jinzhou,锦州,辽宁,东北,2107
fushun,抚顺,辽宁,东北,2104
yk,营口,辽宁,东北,2108
pj,盘锦,辽宁,东北,2111
cy,朝阳,辽宁,东北,2113
dandong,丹东,辽宁,东北,2106
liaoyang,辽阳,辽宁,东北,2110
benxi,本溪,辽宁,东北,2105
hld,葫芦岛,辽宁,东北,2114
tl,铁岭,辽宁,东北,2112
fx,阜新,辽宁,东北,2109
pld,庄河,辽宁,东北,2102
wfd,瓦房店,辽宁,东北,2102
hrb,哈尔滨,黑龙江,东北,2301
dq,大庆,黑龙江,东北,2306
qqhr,齐齐哈尔,黑龙江,东北,2302
mdj,牡丹江,黑龙江,东北,2310
suihua,绥化,黑龙江,东北,2312
jms,佳木斯,黑龙江,东北,2308
jixi,鸡西,黑龙江,东北,2303
sys,双鸭山,黑龙江,东北,2305
hegang,鹤岗,黑龙江,东北,2304
heihe,黑河,黑龙江,东北,2311
yich,伊春,黑龙江,东北,2307
qth,七台河,黑龙江,东北,2309
dxal,大兴安岭,黑龙江,东北,2327
cc,长春,吉林,东北,2201
jl,吉林,吉林,东北,22
sp,四平,吉林,东北,2203
yanbian,延边,吉林,东北,2224
songyuan,松原,吉林,东北,2207
bc,白城,吉林,东北,2208
th,通化,吉林,东北,2205
baishan,白山,吉林,东北,2206
liaoyuan,辽源,吉林,东北,2204
cd,成都,四川,西南,5101
mianyang,绵阳,四川,西南,5107
deyang,德阳,四川,西南,5106
nanchong,南充,四川,西南,5113
yb,宜宾,四川,西南,5115
zg,自贡,四川,西南,5103
ls,乐山,四川,西南,5111
luzhou,泸州,四川,西南,5105
dazhou,达州,四川,西南,5117
scnj,内江,四川,西南,5110
suining,遂宁,四川,西南,5109
panzhihua,攀枝花,四川,西南,5104
ms,眉山,四川,西南,5114
ga,广安,四川,西南,5116
zy,资阳,四川,西南,5120
liangshan,凉山,四川,西南,5134
guangyuan,广元,四川,西南,5108
ya,雅安,四川,西南,5118
bazhong,巴中,四川,西南,5119
ab,阿坝,四川,西南,5132
ganzi,甘孜,四川,西南,5133
km,昆明,云南,西南,5301
qj,曲靖,云南,西南,5303
dali,大理,云南,西南,5329
honghe,红河,云南,西南,5325
yx,玉溪,云南,西南,5304
lj,丽江,云南,西南,5307
ws,文山,云南,西南,5326
cx,楚雄,云南,西南,5323
bn,西双版纳,云南,西南,5328
zt,昭通,云南,西南,5306
dh,德宏,云南,西南,5331
pe,普洱,云南,西南,5311
bs,保山,云南,西南,5305
lincang,临沧,云南,西南,5309
diqing,迪庆,云南,西南,5334
nujiang,怒江,云南,西南,5333
gy,贵阳,贵州,西南,5201
zunyi,遵义,贵州,西南,5203
qdn,黔东南,贵州,西南,5226
qn,黔南,贵州,西南,5227
lps,六盘水,贵州,西南,5202
bijie,毕节,贵州,西南,5224
tr,铜仁,贵州,西南,5222
anshun,安顺,贵州,西南,5204
qxn,黔西南,贵州,西南,5223
lasa,拉萨,西藏,西南,5401
rkz,日喀则,西藏,西南,5423
sn,山南,西藏,西南,5422
linzhi,林芝,西藏,西南,5426
changdu,昌都,西藏,西南,5421
nq,那曲,西藏,西南,5424
al,阿里,西藏,西南,5425
rituxian,日土,西藏,西南,5425
gaizexian,改则,西藏,西南,5425
sjz,石家庄,河北,华北,1301
bd,保定,河北,华北,1306
ts,唐山,河北,华北,1302
lf,廊坊,河北,华北,1310
hd,邯郸,河北,华北,1304
qhd,秦皇岛,河北,华北,1303
cangzhou,沧州,河北,华北,1309
xt,邢台,河北,华北,1305
hs,衡水,河北,华北,1311
zjk,张家口,河北,华北,1307
chengde,承德,河北,华北,1308
dingzhou,定州,河北,华北,1306
gt,馆陶,河北,华北,1304
zhangbei,张北,河北,华北,1307
zx,赵县,河北,华北,1301
zd,正定,河北,华北,1301
ty,太原,山西,华北,1401
linfen,临汾,山西,华北,1410
dt,大同,山西,华北,1402
yuncheng,运城,山西,华北,1408
jz,晋中,山西,华北,1407
changzhi,长治,山西,华北,1404
jincheng,晋城,山西,华北,1405
yq,阳泉,山西,华北,1403
lvliang,吕梁,山西,华北,1411
xinzhou,忻州,山西,华北,1409
shuozhou,朔州,山西,华北,1406
linyixian,临猗,山西,华北,1408
qingxu,清徐,山西,华北,1401
hu,呼和浩特,内蒙古,华北,1501
bt,包头,内蒙古,华北,1502
chifeng,赤峰,内蒙古,华北,1504
erds,鄂尔多斯,内蒙古,华北,1506
tongliao,通辽,内蒙古,华北,1505
hlbe,呼伦贝尔,内蒙古,华北,1507
bycem,巴彦淖尔市,内蒙古,华北,1508
wlcb,乌兰察布,内蒙古,华北,1509
xl,锡林郭勒,内蒙古,华北,1525
xam,兴安盟,内蒙古,华北,1522
wuhai,乌海,内蒙古,华北,1503
alsm,阿拉善盟,内蒙古,华北,1529
hlr,海拉尔,内蒙古,华北,1507
xa,西安,陕西,西北,6101
xianyang,咸阳,陕西,西北,6104
baoji,宝鸡,陕西,西北,6103
wn,渭南,陕西,西北,6105
hanzhong,汉中,陕西,西北,6107
yl,榆林,陕西,西北,6108
yanan,延安,陕西,西北,6106
ankang,安康,陕西,西北,6109
sl,商洛,陕西,西北,6110
tc,铜川,陕西,西北,6102
xj,乌鲁木齐,新疆,西北,6501
changji,昌吉,新疆,西北,6523
bygl,巴音郭楞,新疆,西北,6528
yili,伊犁,新疆,西北,6540
aks,阿克苏,新疆,西北,6529
ks,喀什,新疆,西北,6531
hami,哈密,新疆,西北,6522
klmy,克拉玛依,新疆,西北,6502
betl,博尔塔拉,新疆,西北,6527
tlf,吐鲁番,新疆,西北,6521
ht,和田,新疆,西北,6532
shz,石河子,新疆,西北,6544
kzls,克孜勒苏,新疆,西北,6530
ale,阿拉尔,新疆,西北,6545
wjq,五家渠,新疆,西北,6547
tmsk,图木舒克,新疆,西北,6546
alt,阿勒泰,新疆,西北,6543
tac,塔城,新疆,西北,6542
lz,兰州,甘肃,西北,6201
tianshui,天水,甘肃,西北,6205
by,白银,甘肃,西北,6204
qingyang,庆阳,甘肃,西北,6210
pl,平凉,甘肃,西北,6208
jq,酒泉,甘肃,西北,6209
zhangye,张掖,甘肃,西北,6207
wuwei,武威,甘肃,西北,6206
dx,定西,甘肃,西北,6211
jinchang,金昌,甘肃,西北,6203
ln,陇南,甘肃,西北,6212
linxia,临夏,甘肃,西北,6229
jyg,嘉峪关,甘肃,西北,6202
gn,甘南,甘肃,西北,6230
yinchuan,银川,宁夏,西北,6401
wuzhong,吴忠,宁夏,西北,6403
szs,石嘴山,宁夏,西北,6402
zw,中卫,宁夏,西北,6405
guyuan,固原,宁夏,西北,6404
xn,西宁,青海,西北,6301
hx,海西,青海,西北,6328
haibei,海北,青海,西北,6322
guoluo,果洛,青海,西北,6326
haidong,海东,青海,西北,6321
huangnan,黄南,青海,西北,6323
ys,玉树,青海,西北,6327
hainan,海南,青海,西北,46
hk,香港,其他,其他,81
am,澳门,其他,其他,82
tw,台湾,其他,其他,71